[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 28500: Inserts=855000, Updates=570000, Selects=1425000, Elapsed=74s
Iteration 28600: Inserts=858000, Updates=572000, Selects=1430000, Elapsed=74s
Iteration 28700: Inserts=861000, Updates=574000, Selects=1435000, Elapsed=74s
Iteration 28800: Inserts=864000, Updates=576000, Selects=1440000, Elapsed=75s
Iteration 28900: Inserts=867000, Updates=578000, Selects=1445000, Elapsed=75s
Iteration 29000: Inserts=870000, Updates=580000, Selects=1450000, Elapsed=75s
Iteration 29100: Inserts=873000, Updates=582000, Selects=1455000, Elapsed=76s
Iteration 29200: Inserts=876000, Updates=584000, Selects=1460000, Elapsed=76s
Iteration 29300: Inserts=879000, Updates=586000, Selects=1465000, Elapsed=76s
Iteration 29400: Inserts=882000, Updates=588000, Selects=1470000, Elapsed=77s
Iteration 29500: Inserts=885000, Updates=590000, Selects=1475000, Elapsed=77s
Iteration 29600: Inserts=888000, Updates=592000, Selects=1480000, Elapsed=77s
Iteration 29700: Inserts=891000, Updates=594000, Selects=1485000, Elapsed=78s
Iteration 29800: Inserts=894000, Updates=596000, Selects=1490000, Elapsed=78s
Iteration 29900: Inserts=897000, Updates=598000, Selects=1495000, Elapsed=78s
Iteration 30000: Inserts=900000, Updates=600000, Selects=1500000, Elapsed=79s
Iteration 30100: Inserts=903000, Updates=602000, Selects=1505000, Elapsed=79s
